,0
513,COMITE DEPARTEMENTAL OLYMPIQUE ET SPORTIF RHONE METROPOLE DE LYON
514,COMITE DEPARTEMENTAL RHONE ET METROPOLE DE LYON DE RUGBY A XIII
515,COMITE DEPARTEMENTALE COURSE ORIENTATION
516,COMITE DEPT ATHLETISME DU RHONE METROPOLE LYON
517,COMITE DES COMMERCANTS DU COURS GAMBETTA
518,COMITE DES FETES DE MONPLAISIR
519,COMITE DES LOISIRS RESIDENCE SARRAZIN
520,COMITE FRANCAIS POUR L'UNICEF
521,COMITE LOCAL POUR LE LOGEMENT AUTONOME DES JEUNES DE LYON
522,COMITE LOUIS BRAILLE
523,COMITE OEUVRES SOCIALES LYON
524,COMITE PROTESTANT DE LA DUCHERE
525,COMITE RHONE HANDISPORT
526,COMITE RHONE METROPOLE DE LYON DE TENNIS
527,COMITE SOCIAL DU PERSONNEL DE LA METROPOLE LYONNAISE DE SES COLLECTIVI
528,COMITE UNION SPORTIVE ENSEIGNEMENT 1ER DEGRE DU RHONE & MET LYON
529,COMME LES AUTRES
530,COMMERCANTS DES HALLES DE LYON PAUL BOCUSE
531,COMPAGNIE 126 KILOS
532,COMPAGNIE ANTEPRIMA
533,COMPAGNIE AU DELA DU BLEU
534,COMPAGNIE BRUNO BOEGLIN
535,COMPAGNIE CASSANDRE
536,COMPAGNIE DE ONZE A TROIS HEURES
537,COMPAGNIE DES INCARNÉS
538,COMPAGNIE DU BONHOMME
539,COMPAGNIE DU GAI SAVOIR
540,COMPAGNIE DU SUBTERFUGE
541,COMPAGNIE ENTRELAS KONCEPT
542,COMPAGNIE GET OUT
543,COMPAGNIE GIROUETTE
544,COMPAGNIE KADIA FARAUX
545,COMPAGNIE LA CHAMBRE NOIRE
546,COMPAGNIE LA GUERITA
547,COMPAGNIE LA ROUQUINE
548,COMPAGNIE LA STICOMISS
549,COMPAGNIE LES MAINS LES PIEDS ET LA TETE AUSSI
550,COMPAGNIE LES MONTURES DU TEMPS
551,COMPAGNIE LES NON ALIGNES
552,COMPAGNIE MAGUY MARIN
553,COMPAGNIE NEUVE
554,COMPAGNIE ODE MELODIQUE
555,COMPAGNIE ON OFF
556,COMPAGNIE OXYMORE
557,COMPAGNIE PANIER PIANO
558,COMPAGNIE PROPOS
559,COMPAGNIE REVASSONS
560,COMPAGNIE REVE DE SINGE
561,COMPAGNIE STYLISTIK
562,COMPAGNIE THESPIS
563,COMPAGNIE UGOKI
564,COMPAGNIE Y
565,COMPAGNONS BATISSEURS RHONE ALPES
566,CONCOURS INTERNAT MUSIQUE CHAMBRE LYON
567,CONFEDERATION NAT LOGEM FEDERATION RHO
568,CONFEDERATION SYNDICALE DES FAMILLES
569,CONSCIENCE ET IMPACT ECOLOGIQUE.
570,CONSERVATOIRE RHONE ALPES ESPACES NATURELS
571,CONVENTION GYMNIQUE DE LYON
572,COOP SCOLAIRE COMBE BLANCHE MATERNELLE
573,COOPAWATT ASSOCIATION
574,COOPAWATT SCOP
575,COORDINATION DES STRUCTURES D'APPUI A LA VIE
576,COORDINATION LYONNAISE ASSOCIATIONS SOURDS
577,COORDINATION URGENCE MIGRANTS
578,COPROPRIETE
579,COPROPRIETE ARPEGE
580,COPROPRIETE LE PETIT SAINTE FOY
581,COPROPRIETE MONTRIBLOUD
582,CORPS AU BORD
583,COSMOLYON
584,COUFFIN COUFFINE
585,COUFFIN COUFFINE - COUFFIN COUFFINE EC
586,COUFFIN COUFFINE MC
587,COUP DE POUCE RELAIS
588,COUP DE SOLEIL EN RHONE ALPES
589,COUPLES ET FAMILLES
590,COURIR A LA CATASTROPHE CALC
591,CPME RHONE
592,CRA P
593,CRECHE PARENTALE LES P'TITS BOUTS
594,CRECHE SAINT BERNARD - MELBA  PISTACHES EC
595,CRECHE SAINT BERNARD - MELBA EF
596,CRECHE SAINT BERNARD - MELBA MYRTILLES HG
597,CRECHE SAINT BERNARD BOULEVARD EAJE
598,CRECHE SAINT BERNARD VAUCANSON EAJE
599,CRECHE ST BERNARD
600,CRF ARLEQUIN
601,CRIAS
602,CRIAS (CENTRE  REGIONAL D'INFORMATION POUR L'AGIR SOLIDAIRE)
603,CRIJ CENTRE REGIONAL INFORMATION JEUNESSE
604,CRIJ RHONE ALPES
605,CRO LYON SECTION BOULES
606,CROIX ROUGE FRANCAISE
607,CROIX ROUGE FRANCAISE CHRYSALIDE
608,CROIX ROUGE FRANCAISE LA RONDE DES COLIBRIS
609,CROIX ROUGE FRANCAISE LES COCCINELLES
610,CROIX ROUGE FRANCAISE LES OURSONS MC
611,CROIX ROUGE FRANCAISE LES P TITS PAS
612,CROIX ROUGE FRANCAISE OURSONS ET COMPAGNIE
613,CROIX ROUGE FRANCAISE PIERROT ET COLOMBINE
614,CROIX ROUGE FRANCAISE SAVOIE LAMARTINE
615,CROIX ROUSSE TAEKWONDO ASSOCIATION
616,CS DE LA CROIX ROUSSE
617,CTRE CULT SPORTIF PATRON LAIQUE V P BERT
618,CTRE MUSIQUES TRADITIONNELLES RA
619,CTRE RESSOURCES BOTANIQUE APPLIQUEE
620,CUIVRES DIFFUSION ODYSSEE
621,CULTURE EDUCATION FORMATION INDIVIDUALISEE
